Week,Month_Year,Promo_Exists,Consumer_Index,Inflation_Rate,Gross_Rating_Point,Month,Year,Search_Spend,Display_Spend,Video_Spend,Social_Spend,Digital_Audio_Spend,TV_Spend,Radio_Spend,OOH_Spend,revenue,salescount,Search_Views,Social_Views,Video_Views,Display_Views,Audio_Views,Search_Clicks,Social_Clicks,Video_Clicks,Display_Clicks,Audio_Clicks,category_Books,category_Clothing,category_Electronics,category_Home,Sales_Channel_Digital Audio,Sales_Channel_Display,Sales_Channel_Offline,Sales_Channel_Search,Sales_Channel_Social,Sales_Channel_Video
2022-12-26,2023-01-01,0,110.7,8.7,117.60000000000001,1,2023,29977.80959888221,4207.871135085541,3679.2092371173535,4544.901564598524,2873.9430033326785,8441.358831346826,2796.122755716542,3581.8755619471335,180867.31,930,334,575,818,942,475,697,573,351,298,210,230.0,224.0,234.0,242.0,94.0,87.0,19.0,378.0,232.0,120.0
2023-01-02,2023-01-01,0,110.7,8.7,117.60000000000001,7,14161,235357.1512292396,26247.84375262294,25756.20213116077,29980.176840195363,22101.022694992393,48775.38957135657,17050.86164781084,25416.57677682024,860972.3999999999,5326,2458,4625,5821,7108,3469,4916,3697,2100,2089,1460,1284.0,1321.0,1367.0,1354.0,489.0,483.0,440.0,1964.0,1201.0,749.0
2023-01-09,2023-01-01,0,110.7,8.7,117.60000000000001,7,14161,234186.93826297,26545.37701003657,26030.141142627526,32152.45407107319,22492.490939396346,53364.271304300695,17632.57585575789,26224.81293381066,855779.31,5238,2307,4662,5892,7044,3566,4990,3565,2069,2028,1397,1330.0,1316.0,1336.0,1256.0,471.0,495.0,463.0,1886.0,1205.0,718.0
2023-01-16,2023-01-01,0,110.7,8.7,117.60000000000001,7,14161,236415.99124146253,25535.800231477453,26926.958491296806,31331.985577579195,22229.716760978838,51564.367895430834,16732.820685355266,26709.199641223164,786444.1900000001,5013,2223,4453,5613,6606,3355,4704,3384,1983,2062,1306,1251.0,1258.0,1254.0,1250.0,451.0,463.0,422.0,1838.0,1144.0,695.0
2023-01-23,2023-01-01,0,110.7,8.7,117.60000000000001,7,14161,236796.39254470676,26114.634553136704,26429.605963223275,29936.332555574518,22293.558417997378,49737.51534794016,17424.835102743888,25898.92292826111,809834.7,5095,2311,4440,5629,6973,3369,4839,3500,1982,2059,1381,1284.0,1268.0,1281.0,1262.0,459.0,460.0,468.0,1774.0,1186.0,748.0
2023-01-30,2023-01-01,0,110.7,8.7,117.60000000000001,2,4046,67296.18929582348,7607.9208764514005,8185.941971453306,8109.166848707521,6594.787806567789,14068.115267708374,4725.117417582778,6452.4286831691625,160884.56,1204,627,1242,1471,1799,897,1198,873,503,543,362,280.0,294.0,314.0,316.0,115.0,114.0,130.0,413.0,275.0,157.0
2023-01-30,2023-02-01,0,111.1,8.7,93.6,10,10115,113330.37063271042,11270.25336123779,13286.568941703033,13077.35360734508,15453.64422547305,24414.98348315117,8252.316180700042,14410.75185059222,841328.77,4464,1853,3712,4626,5541,2718,3953,2877,1688,1753,1172,1098.0,1124.0,1169.0,1073.0,432.0,445.0,352.0,1589.0,1021.0,625.0
2023-02-06,2023-02-01,0,111.1,8.7,93.6,14,14161,155687.8021446884,15166.254897894678,17660.853843293826,16715.788983529037,20673.111722974907,34669.96039146472,12241.073746685433,20330.99341599294,1041120.48,5673,2432,4940,6224,7322,3707,5252,3782,2348,2240,1491,1406.0,1379.0,1463.0,1425.0,494.0,549.0,481.0,2086.0,1288.0,775.0
2023-02-13,2023-02-01,0,111.1,8.7,93.6,14,14161,171416.7628089563,14981.957456325057,18742.84892345594,17333.9240947851,20537.48534474507,35011.797373652276,12743.02602521083,20953.57651323809,996556.81,5608,2511,4899,6088,7270,3781,5199,3792,2200,2274,1519,1457.0,1319.0,1436.0,1396.0,495.0,539.0,455.0,2056.0,1302.0,761.0
2023-02-20,2023-02-01,0,111.1,8.7,93.6,14,14161,166352.9635273926,15002.068971515682,17977.47163111863,17339.76306056747,20639.42322373586,37147.71517446113,11813.61436030239,20959.698451492455,1030134.78,5757,2589,5036,6448,7604,3815,5456,3836,2260,2239,1584,1424.0,1417.0,1426.0,1490.0,528.0,485.0,534.0,2052.0,1348.0,810.0
2023-02-27,2023-02-01,0,111.1,8.7,93.6,4,4046,45361.14013673949,4217.137020492698,4799.653644770924,5080.458664200731,5634.900255624689,10187.066891425595,3528.309007997125,5872.602972385778,225232.88,1493,774,1498,1869,2275,1116,1537,1072,651,668,411,395.0,354.0,373.0,371.0,124.0,139.0,182.0,547.0,324.0,177.0
2023-02-27,2023-03-01,0,112.5,7.4,114.4,15,10115,94577.73464070294,7307.777862315186,14647.779715492563,9100.416008317243,9294.626207415948,32929.26768800032,7564.904491289213,9401.48280318979,970403.94,4639,2052,4017,4961,5963,2937,4324,3010,1875,1806,1192,1130.0,1158.0,1152.0,1199.0,436.0,430.0,347.0,1674.0,1078.0,674.0
2023-03-06,2023-03-01,0,112.5,7.4,114.4,21,14161,137322.0297308497,10223.532000585345,20524.39257421791,13016.788696965352,13185.099635387021,48183.79679836513,10882.923256582375,12900.664365862991,1230163.46,6282,2729,5412,6734,8108,4140,5792,4124,2439,2480,1644,1547.0,1574.0,1576.0,1585.0,577.0,583.0,516.0,2310.0,1495.0,801.0
2023-03-13,2023-03-01,0,112.5,7.4,114.4,21,14161,145621.0788214552,10888.598187988671,20084.595135726417,13203.769724605621,13550.671507464953,45136.237893554,10379.807120037587,13280.06889816221,1299558.64,6444,2921,5590,7134,8454,4262,6049,4358,2561,2604,1743,1607.0,1581.0,1623.0,1633.0,616.0,580.0,548.0,2271.0,1511.0,918.0
2023-03-20,2023-03-01,0,112.5,7.4,114.4,21,14161,135688.411489196,10763.774745678124,22021.55504700696,12431.017065158812,13147.375222134271,47821.17704435659,10576.328717506382,12438.205811909991,1327018.65,6547,2766,5729,7076,8569,4381,6040,4450,2588,2635,1758,1646.0,1643.0,1649.0,1609.0,620.0,605.0,500.0,2381.0,1510.0,931.0
2023-03-27,2023-03-01,0,112.5,7.4,114.4,15,10115,97688.87489241271,7119.771550378522,14066.886560984556,9361.283203865745,9260.418911102004,32375.765881465646,7083.417050366705,9009.677758966021,665014.98,3989,2018,3945,5068,5832,2870,4071,2847,1691,1698,1106,1003.0,982.0,994.0,1010.0,356.0,383.0,469.0,1422.0,852.0,507.0
2023-03-27,2023-04-01,1,113.0,7.2,70.14999999999999,8,4046,73024.53243002045,10455.408016698577,9380.951883842801,6091.392093982018,7811.484649140993,30337.19161457865,7323.730160318828,10594.253064802237,712002.05,2593,918,1849,2250,2796,1357,2106,1565,872,940,680,636.0,648.0,660.0,649.0,249.0,245.0,101.0,1000.0,639.0,359.0
2023-04-03,2023-04-01,1,113.0,7.2,70.14999999999999,28,14161,280228.5993560548,35855.73374824411,37878.771732909045,19785.946622983512,30383.2650041952,100674.94046393967,25669.07678897346,37223.620364137176,1551357.9100000001,7039,2433,4955,6119,7375,3682,5681,4227,2519,2407,1716,1701.0,1794.0,1818.0,1726.0,698.0,664.0,246.0,2685.0,1683.0,1063.0
2023-04-10,2023-04-01,1,113.0,7.2,70.14999999999999,28,14161,273526.58284177526,35387.42093343787,36522.17775571138,19822.180748674553,29995.9898875419,91856.38353306302,25926.08272767196,35746.29036826372,1492931.31,7003,2450,4877,6018,7259,3627,5755,4100,2481,2509,1571,1750.0,1777.0,1679.0,1797.0,661.0,634.0,241.0,2708.0,1754.0,1005.0
2023-04-17,2023-04-01,1,113.0,7.2,70.14999999999999,28,14161,281845.9163177543,35320.910626986166,35691.47588259322,21600.350511012377,31169.411259620414,99533.49101864832,25527.57690117257,38132.517920452956,1510371.26,6935,2367,4686,5924,7192,3570,5707,3961,2423,2506,1616,1679.0,1777.0,1706.0,1773.0,680.0,698.0,244.0,2616.0,1689.0,1008.0
2023-04-24,2023-04-01,1,113.0,7.2,70.14999999999999,28,14161,295002.168633765,35675.43667901788,35238.64356552134,20196.813201880963,31768.664558778975,99583.01306701967,24740.78715327491,36922.05626983052,1471327.9100000001,6935,2402,4904,5854,7187,3562,5771,4055,2432,2367,1570,1707.0,1795.0,1707.0,1726.0,645.0,678.0,241.0,2700.0,1643.0,1028.0
2023-05-01,2023-05-01,0,113.2,6.1,150.8,35,14161,214680.3380993168,30262.45091424649,29257.964528169137,28840.319444207078,16443.132639774674,79489.99077428355,16451.536026018126,28264.794338676467,1279863.05,6319,2862,5517,6885,8277,4192,5880,4262,2570,2519,1767,1566.0,1546.0,1610.0,1597.0,569.0,567.0,556.0,2313.0,1461.0,853.0
2023-05-08,2023-05-01,0,113.2,6.1,150.8,35,14161,225722.80996235597,29436.88601237953,29147.413150320142,29894.269413558843,16585.271515968183,83221.16550428834,16618.341939650232,30671.508589474535,1170497.44,6200,2807,5362,6860,8323,4002,6003,4043,2394,2498,1616,1597.0,1537.0,1517.0,1549.0,570.0,571.0,513.0,2299.0,1407.0,840.0
2023-05-15,2023-05-01,0,113.2,6.1,150.8,35,14161,217485.5351720167,29993.063968012975,28856.48413303677,29281.596894098057,16650.936520707535,85266.8238083161,15877.916436704094,28385.283275988404,1274146.63,6319,2866,5566,6959,8215,4137,5926,4296,2499,2561,1664,1571.0,1546.0,1640.0,1562.0,541.0,571.0,553.0,2332.0,1490.0,832.0
2023-05-22,2023-05-01,0,113.2,6.1,150.8,35,14161,212646.56285161895,30097.273883609967,28631.942639871064,29371.01956703516,16410.796511244465,78172.00581560782,15771.391731864273,27557.12847040687,1251698.1099999999,6609,2943,5811,7338,8961,4445,6292,4517,2693,2719,1802,1649.0,1669.0,1607.0,1684.0,590.0,635.0,569.0,2414.0,1543.0,858.0
2023-05-29,2023-05-01,0,113.2,6.1,150.8,15,6069,91540.24529702998,12597.726629415516,13099.35612099976,11367.1099729912,6723.704912608444,33232.38235275547,7284.514915999318,12089.069684068241,387054.29,2339,1106,2323,2905,3403,1667,2302,1646,972,1029,683,582.0,599.0,587.0,571.0,217.0,188.0,241.0,838.0,535.0,320.0
2023-05-29,2023-06-01,0,113.4,6.4,99.6,24,8092,104655.90550610507,8167.500443919839,13430.088301706115,7913.873779211912,7873.051392757892,24069.75972072495,8245.312725203912,14495.432119851082,749743.99,3654,1382,2964,3559,4375,2129,3210,2306,1362,1325,928,902.0,858.0,924.0,970.0,345.0,338.0,226.0,1374.0,829.0,542.0
2023-06-05,2023-06-01,0,113.4,6.4,99.6,42,14161,182576.52331381373,13913.991990978422,24406.34595299679,13482.949564057353,15109.267565034272,42384.57921444359,14269.89933881599,24017.401761613855,1161543.13,5995,2639,5230,6605,7834,3922,5688,3961,2331,2460,1611,1452.0,1476.0,1549.0,1518.0,524.0,559.0,508.0,2171.0,1399.0,834.0
2023-06-12,2023-06-01,0,113.4,6.4,99.6,42,14161,183259.90725264553,14046.955780944818,23987.244337017568,13436.623337780009,14927.045379041334,41018.103499397075,14507.888957186822,25003.750946205088,1162122.72,6168,2756,5573,6885,8254,4187,5818,3998,2551,2585,1672,1547.0,1545.0,1578.0,1498.0,547.0,570.0,543.0,2220.0,1426.0,862.0
2023-06-19,2023-06-01,0,113.4,6.4,99.6,42,14161,178942.473750902,13925.942489893834,23657.972967439648,13878.707767424956,14478.305805353648,40776.92746295204,14160.140851030865,25496.709818859596,1160747.71,6076,2658,5455,6732,8023,4055,5674,4088,2461,2426,1634,1542.0,1494.0,1540.0,1500.0,537.0,596.0,517.0,2204.0,1395.0,827.0
2023-06-26,2023-06-01,0,113.4,6.4,99.6,30,10115,127302.26806736107,10035.575900963726,17255.223026694348,10045.518320885629,10672.057487791375,31516.223466690062,10474.322715380209,16229.73489660173,575590.77,3726,1895,3616,4621,5488,2720,3674,2681,1573,1637,1078,938.0,939.0,924.0,925.0,319.0,327.0,401.0,1349.0,851.0,479.0
2023-06-26,2023-07-01,1,112.6,6.2,124.80000000000001,14,4046,60263.650506021186,7649.961495004145,6535.642137333893,7253.934154972654,5239.08608695948,14840.22347674763,4085.49983506814,7293.332320594072,973521.31,3031,1040,2166,2589,3130,1604,2498,1776,1084,1065,753,768.0,752.0,752.0,759.0,288.0,287.0,109.0,1216.0,718.0,413.0
2023-07-03,2023-07-01,1,112.6,6.2,124.80000000000001,49,14161,187637.94483241418,26411.086854522786,25380.254152946105,22647.82143155468,18572.453079940275,51076.0487841158,16263.886384039677,25161.248821689485,1973062.1800000002,7930,2763,5518,6917,8395,4149,6493,4731,2857,2920,1893,1935.0,1995.0,1914.0,2086.0,689.0,810.0,285.0,3056.0,1966.0,1124.0
2023-07-10,2023-07-01,1,112.6,6.2,124.80000000000001,49,14161,193833.74194078622,26448.1656730888,25408.31519563611,21458.154395186608,17377.35174733977,52575.56470533241,15055.910544989918,26580.75237457237,2167637.11,8421,2927,5792,7246,8676,4406,6864,4922,2936,2943,2007,2120.0,2132.0,2076.0,2093.0,818.0,774.0,296.0,3326.0,2046.0,1161.0
2023-07-17,2023-07-01,1,112.6,6.2,124.80000000000001,49,14161,212409.1957149301,26001.698332590728,26365.75190882534,22821.143776055575,19050.630327115414,53818.11581860583,15459.886358767906,25229.445021766587,2116770.59,8486,2862,5916,7316,8657,4436,6953,4973,2974,2880,1992,2119.0,2163.0,2107.0,2097.0,802.0,856.0,290.0,3324.0,2005.0,1209.0
2023-07-24,2023-07-01,1,112.6,6.2,124.80000000000001,49,14161,195469.70637480787,27595.438650123288,27166.48565412294,22094.144916573416,19176.8881548979,53895.681153927464,15586.386018272968,25513.259576667122,2050279.56,8200,2610,5731,7116,8326,4244,6731,4733,2840,2863,1858,2118.0,2057.0,2007.0,2018.0,806.0,795.0,279.0,3162.0,1933.0,1225.0
2023-07-31,2023-07-01,1,112.6,6.2,124.80000000000001,7,2023,26035.23895771692,3446.7963102841036,3911.6499526086322,2902.875444668586,2694.7792025265003,8340.977904023917,1922.9525185398566,3289.602797529219,230376.0,1090,383,769,947,1115,584,924,600,393,378,246,261.0,258.0,264.0,307.0,106.0,107.0,44.0,409.0,266.0,158.0
2023-07-31,2023-08-01,0,113.2,6.1,100.10000000000001,48,12138,160956.68665907418,17872.07077070711,21006.894790068807,25578.79980478528,13690.042962890178,55800.82510283632,18029.93561087515,14332.415068137323,1079745.35,5481,2364,4849,5919,7109,3530,5065,3658,2288,2192,1436,1406.0,1357.0,1367.0,1351.0,511.0,514.0,462.0,2010.0,1248.0,736.0
2023-08-07,2023-08-01,0,113.2,6.1,100.10000000000001,56,14161,195853.47112307188,20775.997496369182,24883.494030908172,29016.6365303385,17320.5217968834,65985.4362075215,21038.67082856183,17026.600962329416,1210921.75,6151,2705,5463,6704,8041,3952,5678,4057,2499,2439,1626,1539.0,1507.0,1559.0,1546.0,525.0,569.0,532.0,2264.0,1409.0,852.0
2023-08-14,2023-08-01,0,113.2,6.1,100.10000000000001,56,14161,191850.7787473081,19791.451612908917,24984.05325229597,28546.25066230542,16774.409615520704,65936.91465085367,20408.30876987535,16772.591707763528,1232717.73,6289,2758,5598,6881,8267,4197,5825,4249,2591,2491,1699,1605.0,1593.0,1518.0,1573.0,567.0,551.0,535.0,2330.0,1374.0,932.0
